Titre;Genres Netflix;Casting;Note IMDb;Date d'ajout;Lien Netflix;Type
A Yellow Bird;Films en tamoul|#|Films indépendants|#|Drames;Sivakumar Palakrishnan|#|Huang Lu|#|Seema Biswas|#|Udaya Soundari|#|Nithiyia Rao|#|Indra Chandran;5.5;2017-04-30;/title/80115133/;film
A.X.L.;Action, SF et fantastique|#|Films indépendants|#|Action et aventure|#|Action|#|SF et fantastique pour la famille|#|SF et fantastique|#|Films jeunesse et famille|#|SF;Alex Neustaedter|#|Becky G.|#|Alex MacNicoll|#|Dominic Rains|#|Thomas Jane|#|Lou Taylor Pucci|#|Patricia De Leon|#|Niko Guardado|#|Ted McGinley|#|Marie-Françoise Theodore|#|Eric Etebari|#|Dorian Kingi;5.3;2018-10-26;/title/80195967/;film
Abby Sen;Films indiens|#|Films en bengali|#|SF et fantastique|#|Comédies|#|SF;Abir Chatterjee|#|Raima Sen|#|Arunima Ghosh|#|Priyanka Sarkar|#|Sujan Mukherjee|#|Kanchan Mullick|#|Biswanath Basu|#|Bhaswar Chatterjee|#|Swagata Basu|#|Tuhin Mitra|#|Paran Banerjee|#|Kharaj Mukherjee|#|Chiranjit;5.7;2017-04-30;/title/80176698/;film
ABCD 2;Films indiens|#|Films en hindi|#|Films Disney|#|Comédies musicales|#|Films de Bollywood|#|Drames|#|Musique et comédies musicales;Prabhu Deva|#|Varun Dhawan|#|Shraddha Kapoor|#|Lauren Gottlieb|#|Sushant Pujari|#|Punit Pathak|#|Dharmesh Yelande|#|Raghav Juyal;5.5;2018-11-01;/title/80057750/;film
ABCD: Any Body Can Dance;Films indiens|#|Films en hindi|#|Drames|#|Films de Bollywood;Prabhu Deva|#|Kay Kay Menon|#|Ganesh Acharya|#|Dharmesh Yelande|#|Salman|#|Lauren Gottlieb|#|Noorin Sha|#|Punit Pathak;6.3;2018-11-01;/title/70229045/;film
Abdo Mota;Films du Moyen-Orient|#|Action et aventure|#|Comédies musicales|#|Musique et comédies musicales;Mohamed Ramadan;3.0;2019-04-24;/title/81035861/;film
About Last Night;Comédies|#|Comédies romantiques|#|Films romantiques;Kevin Hart|#|Michael Ealy|#|Regina Hall|#|Joy Bryant|#|Christopher McDonald|#|Adam Rodriguez|#|Joe Lo Truglio|#|Paula Patton|#|Bryan Callen;6.1;2019-03-02;/title/70291097/;film
Abzurdah;Films inspirés de faits réels|#|Films biographiques|#|Films d'Amérique latine|#|Drames|#|Films inspirés de livres|#|Films argentins;Eugenia Suárez|#|Esteban Lamothe|#|Gloria Carrá|#|Rafael Spregelburd|#|Tomás Ottaviano|#|Julieta Gullo|#|Zoe Hochbaum|#|Lucia Carolina Pecrul;5.4;2016-08-24;/title/80115152/;film
Acapulco La vida va;Comédies|#|Films mexicains|#|Films d'Amérique latine|#|Drames;Patricio Castillo|#|Sergio Bustamante|#|Alejandro Suárez|#|Luz María Jerez|#|Bob Isaacs|#|Tere Monroy;5.4;2017-06-02;/title/80144311/;film
Accord fatal;Films du Moyen-Orient|#|Drames|#|Films policiers|#|Drames policiers|#|Intrigues;Mostafa Shaban|#|Ghada Adel|#|Arwa Gouda|#|Ahmed Salah Al-Saadany|#|Ashraf Zaki|#|Sawsan Badr|#|Fatma Nasser|#|Said Saleh|#|Ali Hassanein|#|Majed Abdulazim;6.1;2019-06-20;/title/81035875/;film
